file,paradigms,paradigm_terms_found,scale,data_types,building_model_paradigms,building_model_paradigm_terms,system_model_paradigms,system_model_paradigm_terms,occupancy_model_paradigms,occupancy_model_paradigm_terms,climate_model_paradigms,climate_model_paradigm_terms,building_model_optim_methods,building_model_optim_objectives,system_model_optim_methods,system_model_optim_objectives
10.1016_j.apenergy.2019.113920.json,greybox,rc model;linear;combined;first-order;kalman;state-space;state-space model;statistical;time-series,building_model,air_quality;air_temperature;environment;hvac_signals;occupancy;thermal_comfort,greybox,rc(model-anchored);rc model;first-order;state-space;state-space model,NM,NM,NM,NM,NM,NM,NM,comfort,NM,NM
10.1016_j.apenergy.2020.115147.json,NM,statistical,NM,air_temperature;hvac_signals;occupancy;thermal_comfort,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.apenergy.2020.115426.json,NM,neural network;black-box;black-box model;combined;bayesian;convolutional,NM,air_temperature,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.apenergy.2021.117276.json,NM,NM,NM,air_temperature;environment;hvac_signals,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.apenergy.2021.117987.json,NM,combined,building_model;occupancy_model,air_temperature;environment;hvac_signals;occupancy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.apenergy.2022.119580.json,whitebox;greybox,rc models;rc model;modelica;simplified;kalman;unscented;linear,building_model;occupancy_model,air_temperature;environment;hvac_signals;thermal_comfort,whitebox;greybox,rc model;simplified;rc models;rc(model-anchored),NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.buildenv.2020.107089.json,NM,first-order;combined;linear;similarity,building_model,air_temperature;environment;hvac_signals;metering;occupancy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2020.109792.json,greybox;blackbox,autoregressive;regression;first-principles;data-driven;random forest;tree-based;state-space;linear,building_model,air_temperature;environment;hvac_signals;metering,greybox;blackbox,state-space;data-driven;linear,NM,NM,NM,NM,NM,NM,optimisation solver,NM,NM,NM
10.1016_j.enbuild.2020.110271.json,NM,NM,NM,occupancy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2020.110276.json,NM,prediction model;time-series,NM,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2021.111255.json,NM,regressor,building_model,air_temperature;environment;hvac_signals;occupancy,NM,NM,NM,NM,NM,NM,NM,NM,reinforcement_learning,NM,NM,NM
10.1016_j.enbuild.2023.113747.json,NM,NM,NM,air_temperature;environment;occupancy,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2024.114215.json,NM,NM,NM,air_temperature;environment;hvac_signals,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.jobe.2022.104498.json,NM,simplified,system_model,air_temperature;environment;hvac_signals,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
